id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,PB #post,PB #pre,#voxels
1628744095,PFNp_e(PB01a)_R3_C8,PFNp_e,PFNp_e,Traced,466,97,266,48,166,1,280875421
1629085008,PFNp_c(PB01c)_R5_C6,PFNp_c,PFNp_c,Traced,656,124,459,41,153,1,331263439
1630462217,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,99,46,54,14,22,1,105277069
1631131487,PFNm_a(PB02a)_R9_C1,PFNm_a,PFNm_a,Traced,674,123,415,49,169,1,288470315
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,450,112,852,1,883989562
1660776511,PFNp_e(PB01a)_L3_C2,PFNp_e,PFNp_e,Traced,437,88,249,43,160,1,276339951
1661122416,PFNp_e(PB01a)_L5_C4,PFNp_e,PFNp_e,Traced,387,84,218,39,149,1,219305166
1661799601,PFNm_a(PB02a)_L3_C2,PFNm_a,PFNm_a,Traced,635,118,376,46,177,1,280208936
5812987327,PFNp_c(PB01c)_R8_C3,PFNp_c,PFNp_c,Traced,509,115,344,42,122,1,298644545
5812987803,PFNv(PB05)_R9_C1,PFNv,PFNv,Traced,1222,322,745,163,394,44,474139473
5812994148,PFNm_a(PB02a)_L9_C9,PFNm_a,PFNm_a,Traced,428,86,286,35,89,1,218173027
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,662,154,246,40,508396228
5813014573,PFNp_a(PB01a)_L3_C2,PFNp_a,PFNp_a,Traced,213,71,76,24,100,1,143082748
5813015999,PFNa(PB03)_L8_C8,PFNa,PFNa,Traced,486,128,289,46,157,2,325456392
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,584,154,172,46,481368357
5813050000,PFNa(PB03)_R3_C8,PFNa,PFNa,Traced,939,161,394,44,487,2,445076007
5813056953,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1497,424,436,108,398,1,766389254
5813070465,PEN_b(PB06b)_L3,PEN2,PEN_b(PEN2),Traced,2254,425,499,101,1007,1,904493834
5813127581,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,130,53,86,24,24,1,64677170
5813128308,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,310,71,107,27,165,1,187284000
5813128537,PFNm_b(PB02b)_L6_C5,PFNm_b,PFNm_b,Traced,326,82,187,37,65,1,187604491
