id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,#voxels
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,13692,266,2083130629
1017617049,,,,Traced,1431,765,62,4,834504936
1017880794,,,,Traced,269,499,39,3,582186870
1019024473,PAM07(y4<y1y2)_L,,PAM07,Traced,573,170,425,131,263160144
1019347828,PAM08_a(y4)_L,,PAM08_a,Traced,719,179,520,150,228381303
1046506683,CRE066(AVM16)_L,,CRE066,Traced,398,465,12,2,373177564
1047210325,,,,Traced,258,404,39,22,324251843
1047525093,PAM01_a(y5)_R,,PAM01_a,Traced,1849,155,400,42,376757647
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,16,2,552011293
1047887562,CRE068_R,,CRE068,Traced,594,325,31,11,562548941
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,1407,485,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,13331,335,2226046804
1048250312,LAL155_R,,LAL155,Traced,2385,591,2,1,1317529596
1048306045,,,,Traced,128,151,21,1,132512308
1048311229,,,,Traced,162,85,28,3,89101305
1048647522,,,,Traced,179,105,24,3,114478493
1048975307,FB4P_a_L,CRESMPFB4_4,FB4P_a,Traced,2805,567,11,1,699203176
1050249677,PAM07(y4<y1y2)_R,,PAM07,Traced,1208,179,78,29,419404915
1051630846,PAM08_e(y4)_R,,PAM08_e,Traced,990,163,80,23,368736251
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,47,1,2791162363
1079013386,,,,Traced,131,83,66,7,82822258
1079682006,,,,Traced,117,68,56,8,72450554
1079687209,(PVL05)_L,,,Traced,157,176,3,1,165023040
1080386873,,,,Traced,550,431,23,3,374813331
1081086613,PAM12(y3)_L,,PAM12,Traced,656,141,218,74,283506292
1081434698,PAM07(y4<y1y2)_L,,PAM07,Traced,736,186,533,150,257320792
1108312643,,,,Traced,58,29,4,2,49266043
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,1,1,339562986
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,264,37,437796532
1110307501,PAM08_b(y4)_R,,PAM08_b,Traced,1379,227,261,62,318277000
1110354929,,,,Orphan,5,14,2,8,12142919
1110640084,CRE067_R,,CRE067,Traced,1342,370,25,11,763267727
1110997994,PAM08_b(y4)_R,,PAM08_b,Traced,1516,267,275,78,352373355
1111762690,,,,Traced,681,586,22,1,591386255
1112125413,PAM07(y4<y1y2)_L,,PAM07,Traced,745,232,520,204,265742623
1112431072,CRE028_R,,CRE028,Traced,1347,312,14,1,873325642
1131826900,FB4O_L,CRESMPFB4d,FB4O,Traced,1273,625,12,4,635401587
1131836336,FB4R_L,CREFB4,FB4R,Traced,846,398,40,2,560532390
1137957299,ATL005(ADM02)_L,CL-AtIb(c)2,ATL005,Traced,1287,277,50,1,767461289
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,104,20,297452211
1140655624,PAM08_c(y4)_R,,PAM08_c,Traced,2153,287,340,67,393170688
1140737968,PAM08_b(y4)_L,,PAM08_b,Traced,1143,227,550,118,305493467
1140738351,PAM08_c(y4)_L,,PAM08_c,Traced,1800,301,1173,216,322122233
1140750938,PAM08_e(y4)_L,,PAM08_e,Traced,557,160,368,127,252905528
1141000881,PAM08_b(y4)_R,,PAM08_b,Traced,2012,319,532,113,424890767
1141009503,PAM08_b(y4)_L,,PAM08_b,Traced,475,203,79,65,128056257
1141066088,,,,Traced,443,186,436,181,102364112
1141070642,,,,Traced,964,88,946,88,115719042
1141070643,,,,Traced,312,141,312,141,74854293
1141070663,,,,Traced,334,144,332,144,76142904
1141075093,,,,Traced,331,170,331,169,87264628
1141079501,,,,Traced,368,142,365,139,89665245
1141079541,,,,Traced,376,141,376,141,92253304
1141324564,PAM08_e(y4)_R,,PAM08_e,Traced,735,134,87,21,320958096
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,89,19,427493806
1141337605,PAM08_e(y4)_R,,PAM08_e,Traced,1013,193,85,36,410437147
1141342258,PAM08_a(y4)_R,,PAM08_a,Traced,1115,191,179,41,391835218
1141350537,PAM08_b(y4)_R,,PAM08_b,Traced,1586,231,295,77,357280522
1141411490,,,,Traced,391,158,391,158,86239525
1141411491,,,,Traced,441,171,436,170,97136111
1141420421,,,,Traced,321,120,315,115,86899888
1141420485,,,,Orphan,10,2,10,2,1391257
1141424772,,,,Traced,354,157,354,157,79275339
1141678665,PAM12(y3)_R,,PAM12,Traced,1020,164,151,37,394036608
1141678948,PAM08_e(y4)_R,,PAM08_e,Traced,656,148,67,20,295914008
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,67,24,394678553
1141692008,PAM08_a(y4)_R,,PAM08_a,Traced,1126,202,154,47,370793520
1142011140,PAM07(y4<y1y2)_R,,PAM07,Traced,1116,174,71,32,425163642
1142356576,PAM08_a(y4)_R,,PAM08_a,Traced,995,194,117,34,343199907
1142365351,PAM08_a(y4)_R,,PAM08_a,Traced,1006,164,184,47,393275875
1142490070,,,,Traced,417,174,408,168,98083419
1142490078,,,,Traced,393,177,20,10,127760963
1143167974,SMP370(PDM08)_L,,SMP370,Traced,301,467,3,1,606324377
1143807196,,,,Traced,1241,1358,3,4,1094396908
1170400248,APL fragment?,,,Traced,2026,235,1,1,293828523
1170404540,,,,Traced,429,186,10,4,125273798
1170404787,,,,Traced,378,186,22,16,118037991
1170404813,,,,Traced,326,167,11,6,104420946
1170404826,,,,Traced,382,181,7,4,114324068
1170404870,,,,Traced,372,174,6,5,112149184
1170404875,PAM05(B'2p)_R,,PAM05,Traced,682,237,3,4,319299901
1170404888,,,,Traced,366,178,3,2,109212718
1170409037,,,,Traced,404,175,14,10,120814929
1170409055,,,,Traced,373,185,3,2,112041295
1170409088,,,,Traced,351,182,2,4,113685268
1170413127,,,,Traced,248,88,3,1,73016337
1170413384,,,,Traced,248,111,1,1,88302040
1170745461,,,,Traced,330,149,9,6,98591586
1170749728,,,,Traced,460,168,1,2,114929950
1171419046,,,,Traced,221,62,217,60,57716836
1171422963,,,,Traced,290,119,290,119,68774909
1171423213,,,,Traced,978,429,932,402,295799970
1171423416,,,,Traced,478,180,472,176,114392182
1171423436,,,,Traced,377,133,377,133,78827407
1171427733,,,,Traced,357,153,357,152,82426746
1171431567,PAM01_a(y5)_L,,PAM01_a,Traced,1015,141,587,102,302471572
1171436073,PAM13(B'1ap)_L,,PAM13,Traced,638,221,3,2,272074555
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,32,6,324421746
1171759765,PAM08_e(y4)_L,,PAM08_e,Traced,565,159,322,111,179655045
1171759849,,,,Traced,316,143,316,143,81664039
1171759900,,,,Traced,384,150,377,148,74304946
1171759911,,,,Traced,459,159,459,159,95904181
1171759914,,,,Traced,433,169,433,169,107191331
1171759986,,,,Traced,377,146,377,146,85545195
1171760073,,,,Traced,328,130,328,130,74265445
1171760140,,,,Traced,380,159,376,159,97097644
1171760216,,,,Traced,350,141,346,137,88562989
1171763861,,,,Traced,491,191,491,191,104635747
1171763890,,,,Traced,368,149,368,149,83097045
1171763998,,,,Traced,312,137,312,137,74411839
1171764042,,,,Traced,276,119,276,119,72980432
1171764085,,,,Traced,373,156,373,156,82741716
1171764105,,,,Traced,388,153,388,153,88956229
1171764157,,,,Traced,385,149,384,149,88649632
1171768085,,,,Traced,485,252,449,225,143880669
1171768187,,,,Traced,196,91,195,91,43520827
1171768278,,,,Traced,451,190,448,187,107575775
1171768398,,,,Traced,490,235,485,235,125079679
1171768558,,,,Traced,270,118,270,118,62998400
1171772286,PAM08_a(y4)_L,,PAM08_a,Traced,954,198,710,165,266956643
1171772539,,,,Traced,233,82,233,82,52346747
1171772686,,,,Traced,443,174,443,174,104762537
1171772763,,,,Traced,342,122,331,117,76936549
1171776504,,,,Traced,359,126,359,126,69505576
1171776517,,,,Traced,348,153,339,152,91892301
1171776593,,,,Traced,231,99,231,99,55132372
1171776855,,,,Traced,437,171,437,171,99963386
1171777005,,,,Traced,370,153,370,153,78630544
1171777073,,,,Traced,406,146,406,146,78275703
1171777116,,,,Traced,320,135,316,133,75388118
1171781044,,,,Traced,438,162,438,162,103038595
1171781122,,,,Traced,360,147,355,142,85767387
1171820251,,,,Traced,8,9,6,5,6365945
1171820515,,,,Traced,520,180,510,175,102564379
1171820651,,,,Traced,496,173,494,171,108204835
1172031461,PAM08_c(y4)_R,,PAM08_c,Traced,1912,251,422,81,387429139
1172096232,,,,Traced,362,134,362,133,81557357
1172096312,,,,Traced,308,132,307,131,80106954
1172096441,,,,Traced,362,143,357,143,87876434
1172100658,,,,Traced,379,158,372,156,86322974
1172100843,,,,Traced,333,142,333,142,83642841
1172100881,,,,Traced,381,164,381,162,79007393
1172100938,,,,Traced,381,165,379,165,104762547
1172100959,,,,Traced,714,66,714,66,89104345
1172100961,,,,Traced,331,141,331,141,72754191
1172104530,,,,Traced,329,138,329,138,70553575
1172104614,,,,Assign,9,2,9,2,703563
1172104699,,,,Traced,336,143,336,143,76627839
1172104798,,,,Traced,379,151,379,151,89291766
1172104902,,,,Traced,411,174,410,172,94376707
1172105000,,,,Traced,366,151,366,150,86321248
1172105007,,,,Traced,362,137,362,137,72321530
1172105092,,,,Traced,375,170,375,170,86464378
1172109052,,,,Traced,388,154,384,152,81124734
1172109123,,,,Traced,385,150,385,150,86278481
1172109152,,,,Traced,308,123,307,122,67967969
1172109300,,,,Traced,402,152,402,152,82600815
1172109467,,,,Traced,388,149,388,149,91651667
1172109474,,,,Traced,408,149,408,149,88753163
1172113157,,,,Assign,3,2,3,2,720598
1172113453,,,,Assign,2,2,2,2,783268
1172113462,,,,Traced,331,140,331,140,74331186
1172113834,,,,Traced,360,152,360,152,95310192
1172117481,,,,Traced,374,155,367,154,85003126
1172117769,,,,Traced,406,179,406,179,88644216
1172117796,,,,Traced,224,70,224,70,44877385
1172117883,,,,Traced,364,149,364,149,84015470
1172117954,,,,Traced,544,61,531,61,68555260
1172118004,,,,Traced,402,155,395,151,90918023
1172118023,,,,Traced,329,151,329,151,73759914
1172118087,,,,Traced,457,177,452,175,96311726
1172118249,,,,Traced,394,153,363,137,93316902
1172122484,,,,Traced,189,72,189,72,35553290
1172122578,,,,Traced,275,120,271,114,77486051
1172122648,,,,Traced,383,164,383,164,77793083
1172122722,DPM_fragment_L,,,Traced,1554,132,1543,132,163881666
1172127133,,,,Traced,423,187,419,186,104553930
1172161221,,,,Traced,360,151,348,147,76899296
1172161365,,,,Traced,1210,140,1183,138,138132750
1172161381,,,,Traced,7,2,7,2,3439035
1172161550,,,,Traced,7,5,4,4,4664478
1172161563,,,,Traced,403,178,395,175,104326599
1172161600,,,,Traced,62,23,59,21,11825466
1172161627,,,,Traced,5,6,5,5,5558895
1172161729,,,,Traced,403,191,403,190,97200653
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,18,3,330410034
1172433712,PAM08_e(y4)_L,,PAM08_e,Traced,510,135,304,81,159755389
1172437873,,,,Traced,328,143,328,143,73913499
1172441674,PAM12(y3)_L,,PAM12,Traced,982,186,674,149,317578750
1172441736,,,,Traced,426,167,420,167,93831780
1172445996,,,,Traced,340,125,339,124,82313228
1172446050,PAM08_a(y4)_L,,PAM08_a,Traced,1073,208,677,152,257552610
1172446060,,,,Traced,408,159,405,159,88821230
1172446164,PAM07(y4<y1y2)_L,,PAM07,Traced,561,210,397,160,267875557
1172450153,,,,Traced,390,139,388,139,84081912
1172450316,,,,Traced,351,155,351,155,89618971
1172450343,,,,Traced,389,132,389,132,82829132
1172450367,,,,Traced,346,143,346,143,76737800
1172450446,,,,Traced,259,106,257,105,54948211
1172454208,,,,Traced,426,167,426,167,92607380
1172454300,,,,Traced,421,145,421,145,82558633
1172454414,,,,Traced,366,147,366,147,84475055
1172454671,,,,Traced,213,93,213,93,51462490
1172454710,,,,Traced,121,58,115,53,32076229
1172454800,,,,Traced,244,108,244,108,64450758
1172454807,,,,Traced,404,165,404,165,94343874
1172454823,,,,Traced,350,144,339,143,90361971
1172458818,,,,Traced,309,125,306,125,63387422
1172458833,,,,Traced,392,150,392,150,79124128
1172458898,,,,Traced,139,48,139,48,33193614
1172458963,,,,Orphan,6,4,6,4,1787981
1172458980,,,,Traced,431,182,431,180,99358541
1172459010,,,,Traced,346,137,346,137,77878412
1172459032,,,,Traced,208,79,207,79,42934642
1172459123,,,,Traced,155,75,155,74,46396503
1172459127,,,,Traced,425,184,425,182,99324434
1172501753,,,,Traced,391,152,384,142,84309125
1172502440,,,,Traced,3,4,2,2,6396044
1172502457,,,,Traced,3,3,3,3,3397984
1172502469,,,,Traced,35,9,23,7,3029314
1172502521,,,,Traced,9,7,7,6,4112576
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,508,66,311773637
1172778836,,,,Traced,293,151,290,150,95414986
1172782702,,,,Traced,377,168,375,167,102642952
1172795938,,,,Traced,458,155,458,155,101748331
1172796014,PAM08_a(y4)_L,,PAM08_a,Traced,825,209,590,155,259656990
1172800237,,,,Traced,337,143,336,142,80549086
1172804681,,,,Traced,410,159,406,157,81751590
1172838592,,,,Traced,230,99,223,95,60327663
1172839742,,,,Traced,445,176,445,175,107267494
1172839825,,,,Traced,447,179,446,179,104114989
1172839961,,,,Traced,462,190,458,190,107281485
1172840003,,,,Traced,428,185,428,185,96342755
1172842761,,,,Traced,10,3,2,2,2603478
1172843060,,,,Traced,3,2,3,2,431293
1172843242,,,,Traced,481,191,478,191,105533618
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,132,38,396639821
1173076392,PAM08_e(y4)_R,,PAM08_e,Traced,729,155,119,42,365057447
1173076523,PAM08_e(y4)_R,,PAM08_e,Traced,661,149,86,31,329984727
1173137272,,,,Traced,436,177,430,171,89858110
1173145811,,,,Assign,4,5,3,1,2285889
1173179935,,,,Traced,361,170,355,165,85414167
1173180417,,,,Traced,451,173,449,173,99833538
1173180471,,,,Traced,443,175,443,174,100587655
1173180508,,,,Traced,686,146,680,141,68003578
1173183902,,,,Traced,14,5,8,1,1720480
1173184109,,,,Traced,393,186,29,15,125672046
1173184146,,,,Traced,6,7,5,3,5399103
1173184176,,,,Traced,13,11,13,11,6772252
1173184187,,,,Traced,384,167,9,5,114977602
1173521299,,,,Traced,255,101,254,101,62171575
1173524747,,,,Traced,351,175,5,4,101886174
1173524834,,,,Traced,346,174,3,5,112225320
1173524922,,,,Traced,19,10,3,2,6372303
1173524981,,,,Traced,352,168,3,2,108386027
1173525000,,,,Traced,384,14,310,3,30594762
1173745330,PAM08_a(y4)_R,,PAM08_a,Traced,990,169,137,34,329507895
1173753977,PAM08_e(y4)_R,,PAM08_e,Traced,833,166,94,37,352319115
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,13,1,547627159
1173858390,,,,Traced,195,79,194,78,41595306
1173858398,,,,Traced,415,150,413,147,78983314
1173858431,,,,Traced,376,142,370,141,79299233
