id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,gL(L) #post,gL(L) #pre,#voxels
1142011140,PAM07(y4<y1y2)_R,,PAM07,Traced,1116,174,760,135,71,32,425163642
1142356576,PAM08_a(y4)_R,,PAM08_a,Traced,995,194,591,160,117,34,343199907
1142365351,PAM08_a(y4)_R,,PAM08_a,Traced,1006,164,508,112,184,47,393275875
1170400248,APL fragment?,,,Traced,2026,235,19,3,1,1,293828523
1171431567,PAM01_a(y5)_L,,PAM01_a,Traced,1015,141,264,39,587,102,302471572
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,78,12,32,6,324421746
1171759765,PAM08_e(y4)_L,,PAM08_e,Traced,565,159,83,32,322,111,179655045
1171772286,PAM08_a(y4)_L,,PAM08_a,Traced,954,198,159,30,710,165,266956643
1172031461,PAM08_c(y4)_R,,PAM08_c,Traced,1912,251,901,152,422,81,387429139
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,57,6,18,3,330410034
1172433712,PAM08_e(y4)_L,,PAM08_e,Traced,510,135,74,32,304,81,159755389
1172441674,PAM12(y3)_L,,PAM12,Traced,982,186,151,36,674,149,317578750
1172446050,PAM08_a(y4)_L,,PAM08_a,Traced,1073,208,175,52,677,152,257552610
1172446164,PAM07(y4<y1y2)_L,,PAM07,Traced,561,210,107,49,397,160,267875557
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,120,15,508,66,311773637
1172796014,PAM08_a(y4)_L,,PAM08_a,Traced,825,209,160,48,590,155,259656990
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,579,126,132,38,396639821
1173076392,PAM08_e(y4)_R,,PAM08_e,Traced,729,155,327,106,119,42,365057447
1173076523,PAM08_e(y4)_R,,PAM08_e,Traced,661,149,318,102,86,31,329984727
1173745330,PAM08_a(y4)_R,,PAM08_a,Traced,990,169,516,130,137,34,329507895
1173753977,PAM08_e(y4)_R,,PAM08_e,Traced,833,166,404,119,94,37,352319115
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,294,12,13,1,547627159
1202125326,PAM01_b(y5)_L,,PAM01_b,Traced,1020,151,179,39,665,108,196819019
1202397143,PAM01_b(y5)_R,,PAM01_b,Traced,694,140,305,105,58,19,332604177
1202470836,PAM07(y4<y1y2)_L,,PAM07,Traced,807,275,102,39,648,235,223533768
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,371,116,102,38,320100027
1204124270,PAM01_a(y5)_R,,PAM01_a,Traced,1841,147,902,99,458,45,360645236
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,999,150,79,32,429243268
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,8,3,10,1,366409907
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,151,50,425,149,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,198,74,430,120,228273943
1205090786,PAM12(y3)_R,,PAM12,Traced,771,115,225,45,252,69,303136226
1205225146,PAM12(y3)_L,,PAM12,Traced,900,201,188,65,479,133,297353925
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,358,78,221,52,308877449
1233428010,PAM01_a(y5)_R,,PAM01_a,Traced,1101,172,559,127,186,43,371802936
1233436479,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1278,153,639,94,268,40,294637816
1233492573,PAM01_b(y5)_L,,PAM01_b,Traced,804,140,124,30,513,107,241710096
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,28,2,46,6,294286432
1233773217,PAM01_a(y5)_R,,PAM01_a,Traced,1341,162,748,128,229,31,319599604
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,594,113,167,37,273212378
1264186300,PAM01_a(y5)_L,,PAM01_a,Traced,900,143,288,54,498,86,240889204
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,207,59,270,54,216360555
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,846,99,386,48,416278069
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,51,18,161,50,225739136
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,2,,14,1,267245995
1295855722,PAM01_b(y5)_R,,PAM01_b,Traced,1117,157,540,105,247,45,330482362
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,549,132,114,25,354276543
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,7,16,10,19,5492683352
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,19,7,6190229391
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,331,51,53,9,321368178
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,318,46,508,83,259131792
5812979172,PAM01_b(y5)_L,,PAM01_b,Traced,557,145,64,20,345,113,275874215
5812979502,PAM01_a(y5)_L,,PAM01_a,Traced,1315,139,367,42,735,92,291541065
5812979558,PAM01_b(y5)_L,,PAM01_b,Traced,906,173,136,35,621,136,240183413
5812979560,PAM01_a(y5)_L,,PAM01_a,Traced,1468,128,415,44,804,83,284303946
5812980520,CRE029_c_R,,CRE029_c,Traced,834,333,1,2,1,5,771099799
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,1851,299,38,2,3349981626
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,247,59,742,168,253723732
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,,15,2,2164861052
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,204,38,380,76,211372631
5812982125,CRE032_R,,CRE032,Traced,600,223,14,8,74,4,547536751
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,603,99,186,34,343660367
5812983522,PAM07(y4<y1y2)_L,,PAM07,Traced,2412,544,128,31,2130,503,481019405
5812983827,PAM08_a(y4)_L,,PAM08_a,Traced,1016,194,208,56,682,137,253048355
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,9,1,1,1,3369272816
5813012637,SMP056(ADM01)_L,,SMP056,Traced,1802,509,50,1,103,6,1671517230
5813020288,PAM08_b(y4)_L,,PAM08_b,Traced,1571,270,441,94,850,173,344947794
5813020424,PAM12(y3)_L,,PAM12,Traced,842,136,204,44,463,87,274285169
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,11,7,3,8,2685199565
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,367,84,905,184,241663552
5813022076,PAM12(y3)_L,,PAM12,Traced,835,213,104,38,579,160,283015676
5813022199,CRE029_a_R,,CRE029_a,Traced,1027,313,9,16,2,6,775964720
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,10282,170,351,92,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,14,,7,1,3410455915
5813022404,PAM01_b(y5)_L,,PAM01_b,Traced,583,140,108,28,353,103,221751123
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,5741,2062,1423,464,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,10458,28,82,18,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,9,,21,3,903566720
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,202,33,661,94,240799955
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,45,11,54,10,281021176
5813033000,MBON34(y2)_R,,MBON34,Traced,604,202,13,1,78,4,485802384
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,51,15,473,97,288587422
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,162,27,3668,75,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,54,7,318,49,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,37,4,49,4,3046434158
5813052909,MBON29(y4y5)(PVL06)_L,,MBON29,Traced,5270,755,1230,24,2743,66,1673885779
5813057461,AVLP563(PVL15)_L,,AVLP563,Traced,1138,890,16,1,29,2,1021556858
5813057947,PAM08_a(y4)_L,,PAM08_a,Traced,452,127,63,32,265,91,143579591
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,6392,21,443,21,2345461437
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,23,4,32,18,3343482793
5813060817,PAM12(y3)_L,,PAM12,Traced,768,170,192,66,337,98,308095871
5813061212,PAM08_e(y4)_L,,PAM08_e,Traced,585,153,97,32,325,112,243974277
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,211,143,3486100136
5813061560,PAM08_a(y4)_L,,PAM08_a,Traced,555,166,64,28,438,136,234715149
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,368,72,936,183,332652814
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,101,24,481,108,167259973
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,361,104,341,118,444049069
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,463,82,229,35,309670626
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,34,5,7,2,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,314,113,194,67,354860104
5813109941,PAM07(y4<y1y2)_R,,PAM07,Traced,1075,183,768,139,108,38,357750093
5813123042,CRE039_R,,CRE039,Traced,614,176,1,,37,1,498065951
5813124740,PAM07(y4<y1y2)_L,,PAM07,Traced,604,120,118,31,340,82,270313769
5813126042,,,,Traced,165,108,11,1,4,3,97518482
