id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,b'L(L) #post,b'L(L) #pre,#voxels
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,151,50,21,2,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,198,74,3,1,228273943
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,358,78,,1,308877449
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,28,2,550,104,294286432
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,594,113,8,2,273212378
1234731487,PAM14(B'1m)_L,,PAM14,Traced,277,117,2,,18,2,121961389
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,846,99,2,2,416278069
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,2,,560,134,267245995
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,8,9,6190229391
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,331,51,177,25,321368178
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,318,46,15,1,259131792
5812979558,PAM01_b(y5)_L,,PAM01_b,Traced,906,173,136,35,13,1,240183413
5812980079,SMP128_R,,SMP128,Traced,1787,542,8,2,,1,823342022
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,247,59,186,65,253723732
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,204,38,9,4,211372631
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,603,99,47,2,343660367
5812983522,PAM07(y4<y1y2)_L,,PAM07,Traced,2412,544,128,31,1,1,481019405
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,3,,11,3,248528210
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,367,84,10,7,241663552
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,10282,170,13,21,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,14,,806,4,3410455915
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,5741,2062,61,13,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,10458,28,3,5,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,202,33,267,29,240799955
5813032813,PAM13(B'1ap)_L,,PAM13,Traced,680,241,1,,245,100,279564061
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,45,11,679,63,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,51,15,74,25,288587422
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,162,27,23,1,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,54,7,432,52,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,37,4,24,15,3046434158
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,6,4,96,32,427955175
5813052909,MBON29(y4y5)(PVL06)_L,,MBON29,Traced,5270,755,1230,24,17,2,1673885779
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,48,36,3486100136
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,368,72,97,24,332652814
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,361,104,,2,444049069
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,463,82,86,17,309670626
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,34,5,346,51,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,314,113,11,3,354860104
5813126042,,,,Traced,165,108,11,1,2,1,97518482
