id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,FB #post,FB #pre,#voxels
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,1040,170,2532,605,2367341468
1226978058,vDeltaM_C4,FB1vD0FB4,vDeltaM,Traced,162,29,4,,153,29,123312495
1228683492,ExR8(ring)_L,,ExR8,Traced,1853,7,460,,26,1,639551659
1248424794,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,235,62,138,34,22,26,167706792
1248765883,PFNp_d(PB01a)_R9_C2,PFNp_d,PFNp_d,Traced,167,23,84,2,38,21,109632660
1248770299,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,472,105,311,38,31,67,248764575
1249098248,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,414,95,264,31,32,63,245492361
1249098351,vDeltaM_C3,FB1vD0FB4,vDeltaM,Traced,173,30,6,,165,30,140856055
1249102842,PFNp_d(PB01a)_R8_C3,PFNp_d,PFNp_d,Traced,138,29,20,,96,23,126324189
1249763220,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,466,85,297,39,28,44,230917019
1249763369,PFNp_d(PB01a)_R9_C2,PFNp_d,PFNp_d,Traced,103,16,31,,42,13,112838515
1250113157,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,185,50,125,31,11,19,138462094
1250113288,PFNp_e(PB01a)_R9_C2,PFNp_e,PFNp_e,Traced,376,77,231,41,23,32,201082822
1251265590,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,129,48,103,24,10,21,122289121
1251265778,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,147,49,80,17,29,31,119435766
1251269930,PFNp_e(PB01a)_L9_C8,PFNp_e,PFNp_e,Traced,248,70,157,38,12,25,153099415
1251275120,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,570,150,274,43,55,107,357032990
1251952397,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,186,55,139,32,13,22,112002974
1255297613,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,559,113,274,42,43,71,316317120
1255638782,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,531,117,319,43,34,74,325866264
1256376704,PFNp_e(PB01a)_L6_C5,PFNp_e,PFNp_e,Traced,258,79,191,38,15,34,201325134
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,387,,2,1,1170924542
1282300415,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,183,61,121,33,12,25,123262281
1282305753,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,164,47,122,19,35,26,118136261
1282646571,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,156,56,90,26,33,30,118912206
1282991279,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,150,46,129,28,4,18,126159058
1286315568,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,543,107,258,40,33,67,300802409
1287411513,PFNp_d(PB01a)_R6_C5,PFNp_d,PFNp_d,Traced,89,22,33,1,52,21,101264112
1289359184,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4578,2519,271,121,2100,2315,2446970593
1289432358,vDeltaM_C7,FB1vD0FB4,vDeltaM,Traced,160,27,2,,157,27,112258750
1310499077,PFNm_a(PB02a)_R9_C1,PFNm_a,PFNm_a,Traced,635,147,454,59,50,88,310431039
1312308001,PFNp_d(PB01a)_L9_C8,PFNp_d,PFNp_d,Traced,93,25,38,,39,21,93569360
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,540,113,7,19,839952860
1320799646,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,174,65,95,24,18,37,128176386
1345056477,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,121,26,52,4,37,21,103644725
1348057533,FB1C(NO1/NO3)_L,LALNOmFB1,FB1C,Traced,1549,1116,468,189,1043,834,804505807
1348769299,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,212,35,99,15,31,20,115742706
1349114660,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,114,40,66,22,9,18,127554851
1349114669,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,230,44,74,13,34,30,138581517
1349114715,PFNm_a(PB02a)_L4_C3,PFNm_a,PFNm_a,Traced,434,54,295,35,19,19,222259750
1350803100,PFNp_a(PB01a)_R5_C6,PFNp_a,PFNp_a,Traced,260,87,124,24,53,63,175051158
1351795817,vDeltaM_C4,FB1vD0FB4,vDeltaM,Traced,184,30,14,,157,27,118125728
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,646,146,4,23,619565622
1379087619,FB1C(NO1/NO3)_L,LALNOmFB1,FB1C,Traced,1636,1169,439,172,1172,888,873045387
1380145201,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,317,78,228,40,14,37,163099219
1380145267,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,179,50,108,25,22,25,131950425
1380149563,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,258,60,198,35,11,25,161678827
1380149683,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,296,70,229,31,9,38,191121333
1380408540,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,204,39,108,11,58,28,123772072
1380408769,PFNp_d(PB01a)_R7_C4,PFNp_d,PFNp_d,Traced,178,31,78,3,70,27,126155522
1410105306,PFNp_e(PB01a)_R4_C7,PFNp_e,PFNp_e,Traced,346,67,196,31,28,33,186565124
1410118722,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,133,18,62,2,37,16,118974380
1410122382,PFNm_a(PB02a)_R6_C5,PFNm_a,PFNm_a,Traced,538,95,365,40,79,55,245546738
1410122586,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,475,86,311,29,34,57,235054644
1410122843,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,210,46,92,24,19,22,134434265
1410122892,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,435,80,287,32,27,48,236861136
1410127303,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,435,96,311,39,36,54,238160891
1410127581,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,421,94,294,38,60,55,222599797
1410450511,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,498,86,228,35,84,50,216523210
1410450514,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,209,58,97,25,16,29,137642051
1410450576,PFNp_d(PB01a)_R6_C5,PFNp_d,PFNp_d,Traced,106,27,33,,44,27,102460746
1410450694,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,186,47,116,23,18,22,144402524
1410450859,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,202,41,111,22,12,19,128311617
1410450949,PFNm_a(PB02a)_R6_C5,PFNm_a,PFNm_a,Traced,586,108,412,44,36,64,263849323
1410451120,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,429,82,271,37,21,44,206071298
1410451151,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,176,43,90,19,18,24,133385361
1410472719,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,422,81,305,32,32,49,202552831
1410801066,PFNp_d(PB01a)_R5_C6,PFNp_d,PFNp_d,Traced,159,33,75,4,68,29,120213107
1410813978,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,141,38,98,19,20,19,113474514
1411862814,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,542,110,257,37,39,73,297901324
1412164346,PFNm_b(PB02b)_L5_C4,PFNm_b,PFNm_b,Traced,470,122,183,38,132,82,269470639
1412238418,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,499,122,279,40,36,80,293819301
1414617465,PFNp_d(PB01a)_R_C8_irreg,PFNp_d,PFNp_d,Traced,163,22,28,,125,22,138069021
1415877516,vDeltaM_C1,FB1vD0FB4,vDeltaM,Traced,136,23,27,,107,23,112204243
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,1,,131,64,6190229391
1441144493,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,420,80,256,38,24,42,220073717
1441481281,PFNm_a(PB02a)_R4_C7,PFNm_a,PFNm_a,Traced,628,111,391,49,57,62,272518264
1441485388,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,186,44,81,19,25,25,126265270
1441485464,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,345,61,191,33,12,28,200205040
1441485633,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,355,68,221,32,18,35,197085606
1441485832,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,457,94,321,38,28,55,253913577
1441485942,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,401,88,272,36,25,52,241584337
1441486002,PFNp_e(PB01a)_R4_C7,PFNp_e,PFNp_e,Traced,241,57,147,22,20,33,161955424
1441498763,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,124,44,88,28,8,16,128861177
1441499171,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,124,41,96,24,7,17,123344847
1441499284,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,134,44,100,18,26,24,128766829
1441503403,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,151,55,103,29,25,25,130308290
1441503748,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,350,89,264,34,17,54,237030936
1441848753,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,153,44,102,21,24,22,113419994
1442556708,PFNp_d(PB01a)_L7_C6,PFNp_d,PFNp_d,Traced,150,32,31,1,93,24,114358250
1442931671,PFNp_d(PB01a)_L_C7_irreg,PFNp_d,PFNp_d,Traced,90,25,47,1,41,20,95504211
1442931758,PFNp_d(PB01a)_L8_C7,PFNp_d,PFNp_d,Traced,141,23,71,6,40,17,92793700
1443268440,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,565,138,314,60,39,75,288035778
1443579770,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,586,114,311,48,39,65,323082717
1472205673,PFNa(PB03)_R2_C9,PFNa,PFNa,Traced,608,128,330,51,38,77,329289610
1472520245,PFNp_d(PB01a)_R4_C7,PFNp_d,PFNp_d,Traced,111,19,54,2,39,17,105055774
1472537557,PFNp_e(PB01a)_L6_C5,PFNp_e,PFNp_e,Traced,189,60,110,26,13,30,119345306
1472542572,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,155,47,120,23,11,24,138376894
1472546868,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,127,37,106,19,9,18,118217156
1472866173,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,248,59,142,29,23,30,169702183
1473202957,PFNm_a(PB02a)_R7_C4,PFNm_a,PFNm_a,Traced,680,122,446,47,55,75,307056607
1473207713,PFNp_c(PB01c)_R7_C4,PFNp_c,PFNp_c,Traced,450,94,284,42,21,52,249239486
1473241269,PFNp_d(PB01a)_R5_C6,PFNp_d,PFNp_d,Traced,158,27,53,,77,20,117547141
1503581177,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,143,39,95,11,36,28,111052665
1503581412,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,164,51,139,30,12,21,156770287
1503896377,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,166,28,93,15,13,13,136237574
1503922566,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,198,61,109,39,11,21,160206746
1504268020,PFNm_a(PB02a)_L7_C6,PFNm_a,PFNm_a,Traced,411,114,292,40,84,73,201619972
1504582746,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,234,59,100,23,38,36,97753775
1504924440,PFNm_a(PB02a)_R7_C4,PFNm_a,PFNm_a,Traced,677,130,431,42,86,88,312385916
1509098829,GLNO(LAL-NO1)_L,LGNO,GLNO,Traced,811,447,805,439,1,4,406877798
1534616158,PFNp_d(PB01a)_R2_C9,PFNp_d,PFNp_d,Traced,158,26,80,2,56,24,108758119
1534616361,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,178,51,106,23,32,28,147308921
1535298439,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,209,45,121,25,14,20,123385803
1535298460,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,195,53,114,29,26,24,139280020
1535652862,PFNm_a(PB02a)_R4_C7,PFNm_a,PFNm_a,Traced,575,103,377,41,67,62,253886838
1536006733,PFNm_b(PB02b)_L8_C7,PFNm_b,PFNm_b,Traced,448,114,211,37,107,76,203606131
1536326457,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,171,34,63,10,48,23,118546130
1537634396,PFNa(PB03)_L3_C2,PFNa,PFNa,Traced,902,187,426,56,56,129,505576414
1540129092,LCNOpm(LAL-NO3pm)_L,LCNpm,LCNOpm,Traced,2711,862,2689,855,5,1,1286666680
1566333075,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,202,49,129,24,17,25,141172075
1566644645,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,701,145,332,48,57,96,391422300
1567020107,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,158,31,92,11,33,19,109321887
1567028669,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,150,51,113,23,27,28,138155182
1567382512,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,119,39,96,17,16,22,98135066
1567728102,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,108,42,84,19,17,22,102928213
1568047319,PFNm_a(PB02a)_R3_C8,PFNm_a,PFNm_a,Traced,856,139,500,44,127,95,296164753
1570806389,PFNp_d(PB01a)_R2_C9,PFNp_d,PFNp_d,Traced,122,30,59,,58,30,116522957
1597683387,PFNm_a(PB02a)_R8_C3,PFNm_a,PFNm_a,Traced,565,102,374,47,55,55,262180032
1597722005,PFNp_d(PB01a)_R3_C8,PFNp_d,PFNp_d,Traced,230,28,94,,77,28,142964593
1598067695,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,180,51,98,21,30,30,152877171
1598382541,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,198,63,146,30,27,33,140325507
1599069164,PFNm_a(PB02a)_L8_C7,PFNm_a,PFNm_a,Traced,488,107,344,49,53,58,240044244
1599410380,PFNp_c(PB01c)_L8_C7,PFNp_c,PFNp_c,Traced,422,100,306,40,35,60,214370701
1599431888,PFNp_c(PB01c)_R3_C8,PFNp_c,PFNp_c,Traced,752,139,529,63,47,76,341634908
1599436552,PFNp_c(PB01c)_R3_C8,PFNp_c,PFNp_c,Traced,628,115,403,45,38,68,328505069
1599747200,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,479,96,317,38,43,56,210163048
1599772916,PFNp_b(PB01b)_R3_C8,PFNp_b,PFNp_b,Traced,246,58,110,20,45,38,165987725
1599773239,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,150,61,97,27,31,32,122231439
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,516,137,106,150,532651939
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,524,97,5,9,535483990
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,383,79,2,11,695171696
1628743785,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,252,64,112,24,28,38,167605436
1628744095,PFNp_e(PB01a)_R3_C8,PFNp_e,PFNp_e,Traced,466,97,266,48,34,47,280875421
1629085008,PFNp_c(PB01c)_R5_C6,PFNp_c,PFNp_c,Traced,656,124,459,41,41,81,331263439
1629093706,PFNp_e(PB01a)_R2_C9,PFNp_e,PFNp_e,Traced,350,72,244,31,11,41,204894048
1629426306,PFNp_a(PB01a)_R5_C6,PFNp_a,PFNp_a,Traced,241,72,142,36,28,36,156111033
1630462217,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,99,46,54,14,21,30,105277069
1630765418,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,180,33,78,9,54,24,130690698
1631131487,PFNm_a(PB02a)_R9_C1,PFNm_a,PFNm_a,Traced,674,123,415,49,89,73,288470315
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,450,112,7,10,883989562
1631486122,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,217,50,138,28,18,22,162685111
1660776511,PFNp_e(PB01a)_L3_C2,PFNp_e,PFNp_e,Traced,437,88,249,43,28,43,276339951
1660789784,PFNp_d(PB01a)_L8_C7,PFNp_d,PFNp_d,Traced,103,22,59,3,37,18,94494479
1661121263,PFNp_b(PB01b)_L8_C7,PFNp_b,PFNp_b,Traced,128,42,108,22,3,20,124330307
1661122416,PFNp_e(PB01a)_L5_C4,PFNp_e,PFNp_e,Traced,387,84,218,39,20,41,219305166
1661458144,PFNa(PB03)_L2_C1,PFNa,PFNa,Traced,670,139,319,52,54,87,412398787
1661458883,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,333,83,215,37,34,45,174136721
1661799601,PFNm_a(PB02a)_L3_C2,PFNm_a,PFNm_a,Traced,635,118,376,46,76,71,280208936
1662166202,PFNa(PB03)_R2_C9,PFNa,PFNa,Traced,643,128,361,52,37,76,357462658
5812987321,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,184,47,114,26,15,21,156819058
5812987327,PFNp_c(PB01c)_R8_C3,PFNp_c,PFNp_c,Traced,509,115,344,42,43,72,298644545
5812987334,PFNp_b(PB01b)_R8_C3,PFNp_b,PFNp_b,Traced,223,52,104,24,32,28,160166182
5812987339,PFNp_a(PB01a)_R8_C3,PFNp_a,PFNp_a,Traced,181,46,92,22,25,24,134167203
5812987803,PFNv(PB05)_R9_C1,PFNv,PFNv,Traced,1222,322,745,163,80,115,474139473
5812988707,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,259,59,118,29,18,28,109100056
5812991545,PFNp_d(PB01a)_R4_C7,PFNp_d,PFNp_d,Traced,157,34,74,3,58,31,113834107
5812991632,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,197,49,116,21,36,28,137725873
5812994148,PFNm_a(PB02a)_L9_C9,PFNm_a,PFNm_a,Traced,428,86,286,35,47,48,218173027
5812994149,PFNp_c(PB01c)_L3_C2,PFNp_c,PFNp_c,Traced,627,122,407,44,53,77,293427757
5813012311,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,144,41,79,17,34,23,129936927
5813014062,PFNd(PB04)_R2_C8,,PFNd,Traced,1159,247,510,90,244,157,524009057
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,662,154,89,128,508396228
5813014573,PFNp_a(PB01a)_L3_C2,PFNp_a,PFNp_a,Traced,213,71,76,24,28,45,143082748
5813014859,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,140,23,61,5,41,18,116924312
5813015999,PFNa(PB03)_L8_C8,PFNa,PFNa,Traced,486,128,289,46,35,79,325456392
5813016167,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,152,48,89,18,31,30,60654937
5813023615,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,197,44,98,10,54,34,128844580
5813026993,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,133,37,83,17,11,20,153566491
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,449,62,3007,1327,2846693400
5813037879,PFNp_d(PB01a)_L7_C6,PFNp_d,PFNp_d,Traced,102,21,80,1,16,20,99971345
5813040300,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,183,44,115,12,43,32,136684038
5813041556,PFNp_c(PB01c)_L2_C1,PFNp_c,PFNp_c,Traced,439,85,284,35,22,50,260268918
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,584,154,88,129,481368357
5813050000,PFNa(PB03)_R3_C8,PFNa,PFNa,Traced,939,161,394,44,58,115,445076007
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,449,170,1051,891,1798572771
5813056012,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,165,32,103,8,49,23,109796673
5813056934,PFNa(PB03)_R3_C8,PFNa,PFNa,Traced,1087,193,472,71,61,121,498402908
5813057274,FB4Y(EB/NO1)_L,EBCREFB45,FB4Y,Traced,5089,2001,323,56,3695,1599,2082213746
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,144,95,3071,1745,3486100136
5813062858,FB1H(NO2/3)_R,CRENO23FB1-4,FB1H,Traced,9598,3733,770,331,3717,2821,3621432113
5813067961,vDeltaH_C0,FB12D0FB5,vDeltaH,Traced,684,112,1,,673,112,274397660
5813070464,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,181,57,114,29,18,28,165182721
5813077698,PFNp_b(PB01b)_L7_C6,PFNp_b,PFNp_b,Traced,125,47,68,11,41,36,126224096
5813081686,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,510,121,304,44,40,77,284299919
5813095667,PFNm_a(PB02a)_L8_C7,PFNm_a,PFNm_a,Traced,499,117,325,47,79,69,217483754
5813122799,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,115,24,58,5,25,19,101041151
5813127522,PFNp_d(PB01a)_L9_C8,PFNp_d,PFNp_d,Traced,141,38,71,4,69,34,100805069
5813127525,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,198,61,108,27,33,34,163818262
5813127581,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,130,53,86,24,18,27,64677170
5813128240,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,168,42,110,18,30,24,128117994
5813128308,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,310,71,107,27,33,42,187284000
5813128416,PFNp_b(PB01b)_L6_C5_irreg,PFNp_b,PFNp_b,Traced,188,44,93,17,22,27,134233317
5813128537,PFNm_b(PB02b)_L6_C5,PFNm_b,PFNm_b,Traced,326,82,187,37,62,44,187604491
