id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,PB #post,PB #pre,#voxels
1412238418,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,499,122,36,80,182,1,293819301
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,131,64,1,1,6190229391
1438359720,,,,Orphan,9,20,3,5,5,7,131504881
1441485832,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,457,94,28,55,107,1,253913577
1441486002,PFNp_e(PB01a)_R4_C7,PFNp_e,PFNp_e,Traced,241,57,20,33,74,1,161955424
1441503748,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,350,89,17,54,65,1,237030936
1441848753,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,153,44,24,22,25,1,113419994
1443268440,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,565,138,39,75,210,2,288035778
1443579770,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,586,114,39,65,235,1,323082717
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,22,,299,251,1568187447
1472537557,PFNp_e(PB01a)_L6_C5,PFNp_e,PFNp_e,Traced,189,60,13,30,65,3,119345306
1536006733,PFNm_b(PB02b)_L8_C7,PFNm_b,PFNm_b,Traced,448,114,107,76,121,1,203606131
1537634396,PFNa(PB03)_L3_C2,PFNa,PFNa,Traced,902,187,56,129,416,2,505576414
1566644645,PFNa(PB03)_R8_C3,PFNa,PFNa,Traced,701,145,57,96,310,1,391422300
1599436552,PFNp_c(PB01c)_R3_C8,PFNp_c,PFNp_c,Traced,628,115,38,68,187,2,328505069
1600079770,PFNv(PB05)_L9_C9,PFNv,PFNv,Traced,864,336,106,150,237,45,532651939
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,5,9,446,1,535483990
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,2,11,600,2,695171696
1628744095,PFNp_e(PB01a)_R3_C8,PFNp_e,PFNp_e,Traced,466,97,34,47,166,1,280875421
1629085008,PFNp_c(PB01c)_R5_C6,PFNp_c,PFNp_c,Traced,656,124,41,81,153,1,331263439
1630462217,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,99,46,21,30,22,1,105277069
1631131487,PFNm_a(PB02a)_R9_C1,PFNm_a,PFNm_a,Traced,674,123,89,73,169,1,288470315
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,7,10,852,1,883989562
1660776511,PFNp_e(PB01a)_L3_C2,PFNp_e,PFNp_e,Traced,437,88,28,43,160,1,276339951
1661122416,PFNp_e(PB01a)_L5_C4,PFNp_e,PFNp_e,Traced,387,84,20,41,149,1,219305166
1661799601,PFNm_a(PB02a)_L3_C2,PFNm_a,PFNm_a,Traced,635,118,76,71,177,1,280208936
5812983764,PFR_a(PB11a)_R4_C6,PFR_a,PFR_a,Traced,1416,415,1336,407,75,4,471231362
5812987327,PFNp_c(PB01c)_R8_C3,PFNp_c,PFNp_c,Traced,509,115,43,72,122,1,298644545
5812987443,FC1D(FQ6)_C3_R,FB2CRE,FC1D,Traced,663,148,653,134,,1,283071876
5812987803,PFNv(PB05)_R9_C1,PFNv,PFNv,Traced,1222,322,80,115,394,44,474139473
5812994148,PFNm_a(PB02a)_L9_C9,PFNm_a,PFNm_a,Traced,428,86,47,48,89,1,218173027
5813010807,PFGs(PB10)_R4_C6,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2149,418,2022,402,111,13,991423371
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,11,2,223,197,1075949177
5813014505,PFNv(PB05)_L7_C7,PFNv,PFNv,Traced,1009,326,89,128,246,40,508396228
5813014573,PFNp_a(PB01a)_L3_C2,PFNp_a,PFNp_a,Traced,213,71,28,45,100,1,143082748
5813014873,EPG(PB08)_R1,EPG,EPG,Traced,4099,507,20,1,288,236,1255365813
5813014882,PEG(PB07)_R5,PEG,PEG,Traced,1147,143,4,2,863,1,613166421
5813015999,PFNa(PB03)_L8_C8,PFNa,PFNa,Traced,486,128,35,79,157,2,325456392
5813016724,,,,Traced,29,57,1,4,4,1,277132717
5813016830,PFR_a(PB11a)_R6_C3,PFR_a,PFR_a,Traced,1753,429,1644,411,99,3,506356008
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,22,,271,211,1213503168
5813027103,EPG(PB08)_R5,EPG,EPG,Traced,3574,491,10,3,273,227,1188874706
5813040233,EPG(PB08)_R8,EPG,EPG,Traced,3384,433,5,,257,185,1239795168
5813041365,PFL1(PB12a)_L4_C5,PFLC,PFL1,Traced,1254,313,416,5,769,4,1163111797
5813044670,PFNv(PB05)_L8_C7,PFNv,PFNv,Traced,853,335,88,129,172,46,481368357
5813048755,PFGs(PB10)_R3_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2264,458,2032,419,205,26,996211860
5813050000,PFNa(PB03)_R3_C8,PFNa,PFNa,Traced,939,161,58,115,487,2,445076007
5813056953,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1497,424,1,,398,1,766389254
5813059834,PEG(PB07)_R8,PEG,PEG,Traced,1060,99,9,1,874,4,598312740
5813061251,EPG(PB08)_R8,EPG,EPG,Traced,2853,373,19,3,177,164,1102701348
5813062805,PFR_a(PB11a)_L7_C7,PFR_a,PFR_a,Traced,1191,380,1040,310,67,1,333743157
5813062866,SIFa(PDM34),,SIFa,Traced,506,308,2,4,45,44,4029314519
5813077544,EPG(PB08)_R1,EPG,EPG,Traced,5176,601,25,,289,240,1546927969
5813080838,EPG(PB08)_R3,EPG,EPG,Traced,4198,552,7,1,350,284,1248939309
5813081494,PFR_b(PB11b)_R1_C8,PFR_b,PFR_b,Traced,1908,118,1661,98,226,18,591660901
5813097604,vDeltaK_C7,FB1vD0FB4d5v,vDeltaK,Traced,420,57,418,56,,1,152396525
5813127581,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,130,53,18,27,24,1,64677170
5813128308,PFNp_a(PB01a)_L7_C6,PFNp_a,PFNp_a,Traced,310,71,33,42,165,1,187284000
5813128537,PFNm_b(PB02b)_L6_C5,PFNm_b,PFNm_b,Traced,326,82,62,44,65,1,187604491
