id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,gL(L) #post,gL(L) #pre,#voxels
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,447,87,46,6,294286432
1233773217,PAM01_a(y5)_R,,PAM01_a,Traced,1341,162,16,,229,31,319599604
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,12,2,167,37,273212378
1264186300,PAM01_a(y5)_L,,PAM01_a,Traced,900,143,10,1,498,86,240889204
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,9,1,270,54,216360555
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,11,,386,48,416278069
1293451424,KCa'B'_L?,,,Traced,211,97,66,22,2,3,88610144
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,6,2,161,50,225739136
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,322,81,14,1,267245995
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,1,,114,25,354276543
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,17,7,19,7,6190229391
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,566,66,53,9,321368178
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,5,,508,83,259131792
5812979502,PAM01_a(y5)_L,,PAM01_a,Traced,1315,139,3,1,735,92,291541065
5812979558,PAM01_b(y5)_L,,PAM01_b,Traced,906,173,1,,621,136,240183413
5812979560,PAM01_a(y5)_L,,PAM01_a,Traced,1468,128,1,,804,83,284303946
5812981240,CRE064_R,,CRE064,Traced,492,198,1,,2,1,357393687
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,2,38,2,3349981626
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,57,21,742,168,253723732
5812982120,PAM05(B'2p)_R,,PAM05,Traced,794,237,253,121,2,2,311663944
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,321,27,186,34,343660367
5812983399,PAM05(B'2p)_L,,PAM05,Traced,1338,327,268,105,46,10,358512014
5812983811,CRE066(AVM16)_L,,CRE066,Traced,299,435,9,,25,12,354635105
5813020424,PAM12(y3)_L,,PAM12,Traced,842,136,4,,463,87,274285169
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,3,2,3,8,2685199565
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,1,2,905,184,241663552
5813022163,SMP148(ADM10)_L,,SMP148,Traced,2308,543,1,,30,1,1378985998
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,,351,92,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,508,,7,1,3410455915
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,443,96,1423,464,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,44,2,82,18,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,18,2,661,94,240799955
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,369,70,54,10,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,60,21,473,97,288587422
5813035387,,,,Traced,127,112,1,,4,2,109567886
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,10,,3668,75,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,180,27,318,49,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,9,6,49,4,3046434158
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,14,1,443,21,2345461437
5813060817,PAM12(y3)_L,,PAM12,Traced,768,170,1,,337,98,308095871
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,211,143,3486100136
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,2,3,936,183,332652814
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,2,,481,108,167259973
5813087625,,,,Traced,951,208,1,3,,1,126240451
5813087817,PAM12(y3)_R,,PAM12,Traced,1444,227,1,,341,118,444049069
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,194,51,229,35,309670626
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,703,155,7,2,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,3,,194,67,354860104
5813109941,PAM07(y4<y1y2)_R,,PAM07,Traced,1075,183,2,,108,38,357750093
5813126042,,,,Traced,165,108,5,,4,3,97518482
