id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,gL(L) #post,gL(L) #pre,#voxels
1265213867,,,,Traced,307,139,2,1,305,138,70634749
1265546189,,,,Traced,389,157,3,1,386,156,91618839
1265567679,,,,Traced,371,168,1,,370,168,95272091
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,2,2,386,48,416278069
1266970692,,,,Traced,470,15,16,,454,15,33757078
1293451424,KCa'B'_L?,,,Traced,211,97,141,72,2,3,88610144
1293844325,,,,Traced,205,77,201,76,4,1,59232989
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,9,,161,50,225739136
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,560,134,14,1,267245995
1295912040,,,,Traced,418,142,3,1,414,140,93485498
1297250599,,,,Traced,159,78,3,3,156,75,38199458
1297975580,,,,Traced,483,198,1,,477,196,113614067
1326623074,,,,Traced,53,15,33,8,20,7,17390573
1326938162,,,,Traced,368,135,11,4,357,131,93208363
1386512867,MBON05(y4>y1y2)_R,,MBON05,Traced,20098,1073,269,9,19394,483,3823216871
1389681738,,,,Traced,367,140,1,,366,140,91625438
1390743534,,,,Traced,297,138,3,1,294,137,82477101
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,8,9,19,7,6190229391
1420738275,,,,Traced,217,16,1,,216,16,23221703
1451410055,,,,Traced,450,198,19,7,428,190,100454927
5812979156,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1339,152,177,25,53,9,321368178
5812979170,PAM01_a(y5)_L,,PAM01_a,Traced,1017,133,15,1,508,83,259131792
5812979256,,,,Traced,388,157,385,155,2,1,119374496
5812979269,,,,Traced,299,110,295,107,4,3,86428203
5812979272,,,,Traced,326,163,315,157,11,6,109465227
5812979282,,,,Traced,300,109,292,107,6,2,97067482
5812979338,,,,Traced,357,156,1,,356,156,92304738
5812979357,,,,Traced,342,127,1,,341,127,71265126
5812979444,,,,Traced,381,143,379,141,1,1,111728570
5812979447,,,,Traced,381,134,350,126,31,8,113395194
5812979484,,,,Traced,367,166,338,153,29,13,121248498
5812979486,,,,Traced,367,138,316,104,51,34,114201794
5812979494,,,,Traced,305,101,302,99,,1,96946900
5812979502,PAM01_a(y5)_L,,PAM01_a,Traced,1315,139,28,,735,92,291541065
5812979558,PAM01_b(y5)_L,,PAM01_b,Traced,906,173,13,1,621,136,240183413
5812979560,PAM01_a(y5)_L,,PAM01_a,Traced,1468,128,16,,804,83,284303946
5812979569,,,,Traced,1594,148,17,4,1568,144,172615853
5812979582,,,,Traced,293,113,7,5,286,108,75048428
5812979658,,,,Traced,534,243,52,22,476,217,135510842
5812981240,CRE064_R,,CRE064,Traced,492,198,2,,2,1,357393687
5812981369,,,,Traced,355,122,353,119,2,3,109426563
5812981641,PAM08_d(y4)_L,,PAM08_d,Traced,1423,333,186,65,742,168,253723732
5812981895,PAM12(y3)_L,,PAM12,Traced,713,146,9,4,380,76,211372631
5812982120,PAM05(B'2p)_R,,PAM05,Traced,794,237,189,92,2,2,311663944
5812982779,PAM01_b(y5)_R,,PAM01_b,Traced,1442,163,47,2,186,34,343660367
5812983399,PAM05(B'2p)_L,,PAM05,Traced,1338,327,683,198,46,10,358512014
5812983522,PAM07(y4<y1y2)_L,,PAM07,Traced,2412,544,1,1,2130,503,481019405
5812983811,CRE066(AVM16)_L,,CRE066,Traced,299,435,4,3,25,12,354635105
5812986274,,,,Traced,493,154,19,4,465,146,98663422
5812988629,,,,Traced,185,52,6,1,179,51,28367160
5813020288,PAM08_b(y4)_L,,PAM08_b,Traced,1571,270,6,,850,173,344947794
5813020424,PAM12(y3)_L,,PAM12,Traced,842,136,3,,463,87,274285169
5813020428,,,,Traced,342,152,3,,339,152,86390324
5813020479,,,,Traced,396,165,392,161,4,4,121199809
5813021842,,,,Traced,318,151,318,150,,1,105367325
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,10,7,905,184,241663552
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,13,21,351,92,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,806,4,7,1,3410455915
5813022407,,,,Traced,464,208,1,,455,204,148466716
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,61,13,1423,464,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,3,5,82,18,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,267,29,661,94,240799955
5813032508,,,,Traced,319,121,314,118,5,3,96391758
5813032573,,,,Traced,544,98,535,96,9,2,61328660
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,679,63,54,10,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,74,25,473,97,288587422
5813033317,,,,Traced,374,140,374,139,,1,114168637
5813035387,,,,Traced,127,112,14,9,4,2,109567886
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,23,1,3668,75,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,432,52,318,49,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,24,15,49,4,3046434158
5813045006,,,,Traced,366,135,14,6,346,127,94168751
5813047783,,,,Traced,305,169,305,168,,1,109638641
5813052909,MBON29(y4y5)(PVL06)_L,,MBON29,Traced,5270,755,17,2,2743,66,1673885779
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,4,,443,21,2345461437
5813058050,PPL102(y1)_R,,PPL102,Traced,8002,2059,3,,32,18,3343482793
5813060817,PAM12(y3)_L,,PAM12,Traced,768,170,2,,337,98,308095871
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,211,143,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,181,14,142,10,2038784377
5813061538,MBON27(y5d)(PVM03)_L,,MBON27,Traced,5898,795,58,,3315,4,1596324019
5813061560,PAM08_a(y4)_L,,PAM08_a,Traced,555,166,2,,438,136,234715149
5813065587,,,,Traced,527,96,495,91,30,4,56885098
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,97,24,936,183,332652814
5813082175,PAM12(y3)_L,,PAM12,Traced,694,134,4,,481,108,167259973
5813082654,,,,Traced,238,99,3,2,233,97,69394165
5813082655,,,,Traced,324,124,1,,322,124,76923107
5813087625,,,,Traced,951,208,5,7,,1,126240451
5813089835,,,,Traced,816,77,3,,805,77,83364163
5813095749,,,,Traced,348,170,344,167,4,3,104493127
5813096699,PAM15_a(y5B'2a)_R,,PAM15_a,Traced,1305,188,86,17,229,35,309670626
5813096713,,,,Traced,376,163,361,147,10,11,122988873
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,346,51,7,2,340231907
5813100896,PAM12(y3)_R,,PAM12,Traced,1041,202,11,3,194,67,354860104
5813124740,PAM07(y4<y1y2)_L,,PAM07,Traced,604,120,1,,340,82,270313769
5813126042,,,,Traced,165,108,2,1,4,3,97518482
5813133906,,,,Traced,372,155,3,,369,155,82458135
5901196617,,,,Traced,357,147,356,146,,1,101985150
5901209088,,,,Traced,321,149,321,148,,1,102161154
5901209190,,,,Traced,336,152,323,140,13,9,110532276
5901215939,,,,Traced,462,181,4,1,457,179,99001524
5901231324,,,,Traced,306,75,4,1,302,74,35383242
7112614799,,,,Traced,217,69,7,2,209,67,60208868
