id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,aL(R) #post,aL(R) #pre,#voxels
487834131,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,260,17,18,1,2,399801357
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,9,7,4,2,448443256
488205572,KCab-s_R,,KCab-s,Traced,662,273,8,8,242,115,324030943
509013752,KCg-m_R,,KCg-m,Traced,832,237,495,193,2,2,390785099
517514142,PPL104(a'3)_R,,PPL104,Traced,5012,1563,19,,17,7,1948744287
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,73,84,119,30,1964048244
517858947,KCab-p_R,,KCab-p,Traced,674,269,5,3,181,89,390763882
518212987,KCa'b'-m_R,,KCa'b'-m,Traced,659,232,5,4,8,4,449871654
518873469,KCab-s_R,,KCab-s,Traced,617,248,5,,204,114,314733974
519206240,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,271,8,6,4,2,435315429
519210172,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,586,253,11,9,,1,405713307
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,7,2,7,4,455019134
519564501,KCab-s_R,,KCab-s,Traced,496,193,2,1,214,106,245598444
540389646,KCg-m_R,,KCg-m,Traced,845,252,534,194,1,1,398420703
540389734,KCg-m_R,,KCg-m,Traced,771,259,470,204,13,2,378955754
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,2,2,8,4,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,12,8,6,4,429727313
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,2,,20,6,437355377
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,1,,4,2,432164604
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,17,11,1,1,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,11,7,3,1,433385122
550599514,KCab-s_R,,KCab-s,Traced,599,207,1,1,233,95,274655094
571424636,KCg-m_R,,KCg-m,Traced,802,249,507,200,3,2,364253672
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,1,,559,177,399312668
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,3,2,22,11,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,17,10,14,1,417324948
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,9,7,3,1,391955328
580947602,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,631,253,10,17,,2,470261330
601725442,KC(incomplete?),,,Traced,611,242,113,66,,2,428233069
601725569,KCg-d_R,,KCg-d,Traced,562,227,290,152,5,2,333188141
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,11,5,3,2,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,2,1,27,14,405985069
630731599,KCg-t_R,,KCg-t,Traced,649,228,340,165,3,2,307105674
633148716,KCg-m_R,,KCg-m,Traced,869,253,486,214,13,3,387890610
633149202,KCg-m_R,,KCg-m,Traced,765,229,452,180,,1,391427293
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,3,2,2,1,424988147
642680969,KCab-p_R,,KCab-p,Traced,699,264,1,,220,84,398461486
643362770,KCab-s_R,,KCab-s,Traced,596,243,2,3,246,107,320018612
661080007,KCa'b'-m_R,,KCa'b'-m,Traced,638,222,3,3,18,3,388134264
662409582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,626,255,11,4,4,3,426186749
662452625,KCg-m_R,,KCg-m,Traced,855,287,537,221,6,3,420547401
663134970,KCg-m_R,,KCg-m,Traced,784,259,468,196,1,1,392525010
664511977,KCg-d_R,,KCg-d,Traced,1251,454,864,403,5,1,629975750
674393414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,238,8,5,1,1,436340617
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,17,5,50,9,251389374
692810011,KCg-m_R,,KCg-m,Traced,874,280,544,228,2,3,423745211
692818786,KCg-m_R,,KCg-m,Traced,694,234,442,180,5,2,343570183
693500431,KCg-m_R,,KCg-m,Traced,820,254,537,208,1,1,373935857
694524222,KCg-m_R,,KCg-m,Traced,664,206,404,166,1,1,354693134
704409534,KCab-p_R,,KCab-p,Traced,685,243,3,1,204,82,354049999
723849351,KCg-m_R,,KCg-m,Traced,880,242,534,198,2,1,378152693
733036127,MBON07(a1)_R,,MBON07,Traced,15519,474,16,,14600,14,1520161953
736117977,KCa'b'-m_R,,KCa'b'-m,Traced,635,252,3,3,11,4,435548368
736813212,KCab-s_R,,KCab-s,Traced,582,245,1,1,213,106,315312530
737149820,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,243,5,4,1,1,442032641
737150041,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,272,3,2,,2,430026335
755229523,KCg-m_R,,KCg-m,Traced,761,236,475,189,8,3,324795082
755544921,KCg-m_R,,KCg-m,Traced,664,228,415,186,5,4,350850010
767473384,OA-VPM4,,OA-VPM4,Traced,2705,2681,475,195,,1,2704741582
767852204,KCa'b'-m_R,,KCa'b'-m,Traced,688,240,12,6,6,3,419723448
768184604,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,657,249,2,2,9,5,453806345
799586652,MBON05(y4>y1y2)(AVM07)_L,,MBON05,Traced,27110,1565,26087,778,6,2,4762453854
799906141,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,618,245,1,1,6,1,406524522
829235909,KCab-p_R,,KCab-p,Traced,756,257,1,,185,81,370647687
830586919,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,647,249,8,4,,1,452127041
846616159,KCab-m_R,,KCab-m,Traced,579,215,1,,224,89,265039869
861634934,KCa'b'-m_R,,KCa'b'-m,Traced,655,258,7,3,1,1,433333685
861665641,MBON12(y2a'1)_R,,MBON12,Traced,8766,1156,4121,37,8,1,1813984393
878652627,KCa'b'-m_R,,KCa'b'-m,Traced,690,252,3,4,3,2,347955774
880055173,KCab-s_R,,KCab-s,Traced,552,203,2,2,210,93,275416876
880383629,KCg-m_R,,KCg-m,Traced,793,241,453,192,12,4,345275323
880404940,KCab-m_R,,KCab-m,Traced,548,215,2,1,205,100,281720585
909372602,KCab-m_R,,KCab-m,Traced,516,196,1,,223,93,296825364
909730907,KCab-s_R,,KCab-s,Traced,698,241,1,,247,106,308702323
915520244,CL336_R,,CL336,Traced,1534,241,2,,1,1,1903329551
939733452,KCab-s_R,,KCab-s,Traced,628,218,1,2,212,96,310965787
939734266,KCab-m_R,,KCab-m,Traced,546,210,3,1,227,94,255999462
940070913,KCab-m_R,,KCab-m,Traced,521,190,1,2,222,91,274247055
940420292,KCa'b'-m_R,,KCa'b'-m,Traced,618,245,9,3,7,3,428622683
972128731,KCg-m_R,,KCg-m,Traced,833,252,514,211,4,2,399574677
973151229,KCg-m_R,,KCg-m,Traced,773,232,471,184,1,1,346133896
974843892,KCg-d_R,,KCg-d,Traced,506,180,269,127,6,3,242807372
977710985,AOTU046(PDM21)_L,,AOTU046,Traced,1349,602,1,,,6,1622607507
1003474104,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,556,258,23,17,1,1,389074673
1003474283,KCg-m_R,,KCg-m,Traced,821,250,511,209,,1,361361087
1003837184,KCg-d_R,,KCg-d,Traced,525,213,310,155,2,1,286756016
1017819398,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,650,256,9,5,3,1,411433282
1034198388,KCab-p_R,,KCab-p,Traced,733,260,5,1,201,85,361965654
1035557785,KCg-m_R,,KCg-m,Traced,854,254,489,198,1,1,391819774
1043151516,,,,Traced,156,246,1,,,3,889810212
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,5046,2005,11,1,4211579375
1048854479,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,262,3,1,,1,408398286
1049549402,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,611,275,25,11,1,1,443024347
1077847238,PAM11(a1)_R,,PAM11,Traced,1325,226,5,,676,193,551823489
1108545599,KCab-s_R,,KCab-s,Traced,608,251,4,3,193,119,315709589
1110937445,KCg-m_R,,KCg-m,Traced,948,280,570,231,10,5,423471140
1111278454,KCg-m_R,,KCg-m,Traced,886,259,505,209,13,5,352966055
1111947403,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,560,258,24,14,3,2,444926933
1127604950,KCg-d_R,,KCg-d,Traced,535,205,324,147,4,2,327937313
1140950118,KCg-m_R,,KCg-m,Traced,761,244,423,198,2,1,335259195
1141268794,KCg-d_R,,KCg-d,Traced,516,207,271,137,5,1,345733573
1141290695,KCg-m_R,,KCg-m,Traced,873,278,498,230,5,3,397582364
1141342299,KCg-m_R,,KCg-m,Traced,794,257,496,213,5,4,402079101
1141346308,KCg-m_R,,KCg-m,Traced,752,202,436,160,1,1,350472783
1141631240,KCg-m_R,,KCg-m,Traced,889,262,545,210,3,3,404400166
1141636389,KCg-m_R,,KCg-m,Traced,773,234,483,197,3,1,352476720
1141972158,KCg-m_R,,KCg-m,Traced,746,224,468,186,4,2,365560546
1141972202,KCg-m_R,,KCg-m,Traced,815,267,540,209,5,2,420915787
1142019878,KCg-s4_R,,KCg-s4,Traced,749,298,359,206,,1,426294048
1142658717,KCg-m_R,,KCg-m,Traced,697,264,461,214,,1,372743702
1169661785,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,254,6,3,4,4,448903191
1169999059,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,531,228,5,6,7,2,420909311
1170335262,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,565,222,37,23,7,5,393635014
1170667130,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,315,12,8,,1,514238091
1171280441,KCg-d_R,,KCg-d,Traced,570,204,321,139,1,1,309649081
1171621616,KCg-d_R,,KCg-d,Traced,514,186,300,128,6,3,317127071
1171621682,KCg-d_R,,KCg-d,Traced,642,233,376,171,7,2,370508699
1171704378,KCg-m_R,,KCg-m,Traced,745,265,510,231,,1,364090762
1172044382,KCg-m_R,,KCg-m,Traced,806,273,517,239,2,1,370990928
1172665846,KCg-m_R,,KCg-m,Traced,895,281,552,221,3,3,308381801
1172670463,KCg-m_R,,KCg-m,Traced,674,226,447,187,,1,344726997
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,4115,979,40,9,3658564958
1200351169,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,664,250,2,2,,1,445817696
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,24,14,3,5,404305308
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,24,2,14426,25,1466363330
1234731487,PAM14(B'1m)_L,,PAM14,Traced,277,117,2,,,1,121961389
1234809285,KCg-d_R,,KCg-d,Traced,574,253,350,189,6,3,325950292
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,7,4,7,3,446959185
1359212271,KCab-s_R,,KCab-s,Traced,606,251,1,1,259,116,309923679
1359553384,KCab-s_R,,KCab-s,Traced,599,259,5,4,204,108,330140818
1388585088,KCab-p_R,,KCab-p,Traced,635,220,2,1,192,76,352744706
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,83,23,6190229391
1449670372,KCab-s_R,,KCab-s,Traced,640,278,4,1,213,128,361396154
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,1,1,45,22,407157814
5812979069,KCg-m_R,,KCg-m,Traced,718,228,416,181,6,4,358488809
5812979121,KCg-t_R,,KCg-t,Traced,614,226,324,151,3,2,325810486
5812979196,KCg-d_R,,KCg-d,Traced,507,220,299,163,2,1,307301397
5812979314,KCg-d_R,,KCg-d,Traced,504,175,284,116,7,2,317334419
5812980378,KCab-s_R,,KCab-s,Traced,575,246,1,2,219,113,300916896
5812980425,KCab-s_R,,KCab-s,Traced,601,213,4,2,222,96,254520884
5812980811,KCab-s_R,,KCab-s,Traced,540,213,1,,186,83,295334622
5812980931,KCab-s_R,,KCab-s,Traced,673,279,1,2,242,102,312733936
5812981160,KCg-m_R,,KCg-m,Traced,911,269,546,218,12,7,407533415
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,15,8,8,4,447193387
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,4,5,1,2,474294817
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,5,4,1,1,451840346
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,4,2,3,1,446321131
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,17,12,2,3,446538834
5812981399,KCa'b'-m_R,,KCa'b'-m,Traced,720,216,1,,1,1,416667601
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,1,1,12,8,455420889
5812981553,KCa'b'-m_R,,KCa'b'-m,Traced,647,237,19,5,,1,409831606
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,5,3,5,7,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,16,7,7,3,391061782
5812981582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,688,233,1,,14,4,413897094
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,6,1,6,7,404873540
5812981616,KCg-m_R,,KCg-m,Traced,852,242,514,191,2,1,405786535
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,3,6,6,2,328939713
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,3,,18,10,478708280
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,13,6,12,4,331043517
5812981961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,637,239,3,1,1,1,464186591
5812982000,KCg-m_R,,KCg-m,Traced,687,223,419,175,1,1,400998702
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,10,7,7,4,414845645
5812982088,KCa'b'-m_R,,KCa'b'-m,Traced,684,234,8,3,6,3,399100731
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,7,5,25,9,365482537
5812982514,KCab-s_R,,KCab-s,Traced,589,237,3,1,224,117,363758686
5812982620,KCg-m_R,,KCg-m,Traced,757,257,469,211,2,4,398451875
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,4,4,2,1,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,8,4,7,4,418473741
5812982780,KCab-p_R,,KCab-p,Traced,700,235,3,1,192,78,384605451
5812982999,KCg-m_R,,KCg-m,Traced,847,245,487,192,9,5,381722085
5812983012,KCab-s_R,,KCab-s,Traced,609,228,6,3,213,93,329761289
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,8,4,21,3,386511183
5812983213,KCab-s_R,,KCab-s,Traced,621,216,1,1,211,85,325890550
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,10,4,4,1,436809854
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,23,11,4,1,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,9,8,7,2,449532868
5813019609,KCab-s_R,,KCab-s,Traced,620,266,1,,209,111,318658265
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,26,10,2,1,434014408
5813020061,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,278,17,13,,1,472995790
5813020089,KCg-m_R,,KCg-m,Traced,824,242,501,191,2,3,271636349
5813021033,KCab-p_R,,KCab-p,Traced,804,252,1,,252,92,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,4,3,14,10,441153613
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,3,,326,133,248528210
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,7,7,2,1,478993126
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,14,5,5,2,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,17,9,2,1,467946092
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,9,8,1,1,485815034
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,17,7,1,1,431474709
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,10282,170,4,2,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,5741,2062,20,4,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,5,3,13,6,388570181
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,8,5,1,1,519684879
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,10,6,,3,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,3,6,207,82,339903729
5813032967,KCg-m_R,,KCg-m,Traced,717,225,459,189,1,1,378642089
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,6,4,20,5,427955175
5813047662,KCg-m_R,,KCg-m,Traced,764,261,488,205,4,3,364278076
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,11,4,8,4,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,3,,260,115,322349102
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,1,1,20,5,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,10,7,2,2,436927867
5813056309,KCg-m_R,,KCg-m,Traced,825,283,523,218,2,3,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,9,1,5,1,403944266
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,2,,25,7,396399147
5813056414,KCg-m_R,,KCg-m,Traced,673,211,415,159,1,1,349509259
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,17,6,4,3,405376444
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,7,3,,2,450117799
5813057956,KCg-m_R,,KCg-m,Traced,772,230,455,180,1,1,356908730
5813060643,KCab-p_R,,KCab-p,Traced,681,264,2,2,178,80,369871738
5813062850,KCab-s_R,,KCab-s,Traced,547,228,2,1,225,105,346545830
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,12,8,2,3,436486264
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,10,5,3,2,364741205
5813070672,KCg-m_R,,KCg-m,Traced,719,237,456,194,2,1,398858277
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,11,8,5,3,453604666
5813078053,KCab-s_R,,KCab-s,Traced,691,238,2,2,258,115,268635703
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,8,7,1,1,472655195
5813083651,KCg-d_R,,KCg-d,Traced,547,216,342,142,2,1,353327717
5813105172,DPM_R,,DPM,Traced,77269,17628,24376,5774,12898,2694,15191654896
